#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321A36C31
#Date Time: 2024-12-14 01:28:08.904
#Sample rate: 5e+07Hz
#Samples: 16384

Time (s),clk,ser3,ser1,ser2,rclk,srclk
-7.48e-05,0,0,0,0,0,0
-7.478e-05,0,0,0,0,0,0
-7.476e-05,0,0,0,0,0,0
-7.474000000000001e-05,0,0,0,0,0,0
-7.472e-05,0,0,0,0,0,0
-7.47e-05,0,0,0,0,0,0
-7.468e-05,0,0,0,0,0,0
-7.465999999999999e-05,0,0,0,0,0,0
-7.464e-05,0,0,0,0,0,0
-7.462e-05,0,0,0,0,0,0
-7.46e-05,0,0,0,0,0,0
-7.457999999999999e-05,0,0,0,0,0,0
-7.456e-05,0,0,0,0,0,0
-7.454e-05,0,0,0,0,0,0
-7.452e-05,0,0,0,0,0,0
-7.449999999999999e-05,0,0,0,0,0,0
-7.448000000000001e-05,0,0,0,0,0,0
-7.446e-05,0,0,0,0,0,0
-7.444e-05,0,0,0,0,0,0
-7.442e-05,0,0,0,0,0,0
-7.440000000000001e-05,0,0,0,0,0,0
-7.438e-05,0,0,0,0,0,0
-7.436e-05,0,0,0,0,0,0
-7.434e-05,0,0,0,0,0,0
-7.432000000000001e-05,0,0,0,0,0,0
-7.43e-05,0,0,0,0,0,0
-7.428e-05,0,0,0,0,0,0
-7.426e-05,0,0,0,0,0,0
-7.423999999999999e-05,0,0,0,0,0,0
-7.422e-05,0,0,0,0,0,0
-7.42e-05,0,0,0,0,0,0
-7.418e-05,0,0,0,0,0,0
-7.415999999999999e-05,0,0,0,0,0,0
-7.414000000000001e-05,0,0,0,0,0,0
-7.412e-05,0,0,0,0,0,0
-7.41e-05,0,0,0,0,0,0
-7.408e-05,0,0,0,0,0,0
-7.406000000000001e-05,0,0,0,0,0,0
-7.404e-05,0,0,0,0,0,0
-7.402e-05,0,0,0,0,0,0
-7.4e-05,0,0,0,0,0,0
-7.398000000000001e-05,0,0,0,0,0,0
-7.396e-05,0,0,0,0,0,0
-7.394e-05,0,0,0,0,0,0
-7.392e-05,0,0,0,0,0,0
-7.389999999999999e-05,0,0,0,0,0,0
-7.388e-05,0,0,0,0,0,0
-7.386e-05,0,0,0,0,0,0
-7.384e-05,0,0,0,0,0,0
-7.381999999999999e-05,0,0,0,0,0,0
-7.38e-05,0,0,0,0,0,0
-7.378e-05,0,0,0,0,0,0
-7.376e-05,0,0,0,0,0,0
-7.374e-05,0,0,0,0,0,0
-7.372000000000001e-05,0,0,0,0,0,0
-7.37e-05,0,0,0,0,0,0
-7.368e-05,0,0,0,0,0,0
-7.366e-05,0,0,0,0,0,0
-7.364000000000001e-05,0,0,0,0,0,0
-7.362e-05,0,0,0,0,0,0
-7.36e-05,0,0,0,0,0,0
-7.358e-05,0,0,0,0,0,0
-7.355999999999999e-05,0,0,0,0,0,0
-7.354e-05,0,0,0,0,0,0
-7.352e-05,0,0,0,0,0,0
-7.35e-05,0,0,0,0,0,0
-7.347999999999999e-05,0,0,0,0,0,0
-7.346e-05,0,0,0,0,0,0
-7.344e-05,0,0,0,0,0,0
-7.342e-05,0,0,0,0,0,0
-7.34e-05,0,0,0,0,0,0
-7.338000000000001e-05,0,0,0,0,0,0
-7.336e-05,0,0,0,0,0,0
-7.334e-05,0,0,0,0,0,0
-7.332e-05,0,0,0,0,0,0
-7.330000000000001e-05,0,0,0,0,0,0
-7.328e-05,0,0,0,0,0,0
-7.326e-05,0,0,0,0,0,0
-7.324e-05,0,0,0,0,0,0
-7.321999999999999e-05,0,0,0,0,0,0
-7.32e-05,0,0,0,0,0,0
-7.318e-05,0,0,0,0,0,0
-7.316e-05,0,0,0,0,0,0
-7.313999999999999e-05,0,0,0,0,0,0
-7.312e-05,0,0,0,0,0,0
-7.31e-05,0,0,0,0,0,0
-7.308e-05,0,0,0,0,0,0
-7.306e-05,0,0,0,0,0,0
-7.304000000000001e-05,0,0,0,0,0,0
-7.302e-05,0,0,0,0,0,0
-7.3e-05,0,0,0,0,0,0
-7.298e-05,0,0,0,0,0,0
-7.296000000000001e-05,0,0,0,0,0,0
-7.294e-05,0,0,0,0,0,0
-7.292e-05,0,0,0,0,0,0
-7.29e-05,0,0,0,0,0,0
-7.287999999999999e-05,0,0,0,0,0,0
-7.286e-05,0,0,0,0,0,0
-7.284e-05,0,0,0,0,0,0
-7.282e-05,0,0,0,0,0,0
-7.279999999999999e-05,0,0,0,0,0,0
-7.278e-05,0,0,0,0,0,0
-7.276e-05,0,0,0,0,0,0
-7.274e-05,0,0,0,0,0,0
-7.271999999999999e-05,0,0,0,0,0,0
-7.270000000000001e-05,0,0,0,0,0,0
-7.268e-05,0,0,0,0,0,0
-7.266e-05,0,0,0,0,0,0
-7.264e-05,0,0,0,0,0,0
-7.262000000000001e-05,0,0,0,0,0,0
-7.26e-05,0,0,0,0,0,0
-7.258e-05,0,0,0,0,0,0
-7.256e-05,0,0,0,0,0,0
-7.253999999999999e-05,0,0,0,0,0,0
-7.252e-05,0,0,0,0,0,0
-7.25e-05,0,0,0,0,0,0
-7.248e-05,0,0,0,0,0,0
-7.245999999999999e-05,0,0,0,0,0,0
-7.244e-05,0,0,0,0,0,0
-7.242e-05,0,0,0,0,0,0
-7.24e-05,0,0,0,0,0,0
-7.237999999999999e-05,0,0,0,0,0,0
-7.236000000000001e-05,0,0,0,0,0,0
-7.234e-05,0,0,0,0,0,0
-7.232e-05,0,0,0,0,0,0
-7.23e-05,0,0,0,0,0,0
-7.228000000000001e-05,0,0,0,0,0,0
-7.226e-05,0,0,0,0,0,0
-7.224e-05,0,0,0,0,0,0
-7.222e-05,0,0,0,0,0,0
-7.220000000000001e-05,0,0,0,0,0,0
-7.218e-05,0,0,0,0,0,0
-7.216e-05,0,0,0,0,0,0
-7.214e-05,0,0,0,0,0,0
-7.211999999999999e-05,0,0,0,0,0,0
-7.21e-05,0,0,0,0,0,0
-7.208e-05,0,0,0,0,0,0
-7.206e-05,0,0,0,0,0,0
-7.203999999999999e-05,0,0,0,0,0,0
-7.202000000000001e-05,0,0,0,0,0,0
-7.2e-05,0,0,0,0,0,0
-7.198e-05,0,0,0,0,0,0
-7.196e-05,0,0,0,0,0,0
-7.194000000000001e-05,0,0,0,0,0,0
-7.192e-05,0,0,0,0,0,0
-7.19e-05,0,0,0,0,0,0
-7.188e-05,0,0,0,0,0,0
-7.186000000000001e-05,0,0,0,0,0,0
-7.184e-05,0,0,0,0,0,0
-7.182e-05,0,0,0,0,0,0
-7.18e-05,0,0,0,0,0,0
-7.177999999999999e-05,0,0,0,0,0,0
-7.176e-05,0,0,0,0,0,0
-7.174e-05,0,0,0,0,0,0
